LID Summary

6694 LID(s) in Fabric:
   LID(Range) NodeGUID          Port Type Name
0x0187        0x0011750102754354   0 SW core6 L116A
0x0188        0x0011750102754d97   0 SW core6 L114A
0x0189        0x00117501027548fc   0 SW core6 L112A
0x018a        0x0011750102754b41   0 SW core6 L110A
0x018b        0x00117501027ab777   0 SW core6 L108A
0x018c        0x00117501027b6b36   0 SW core6 L106A
0x018d        0x00117501027aab08   0 SW s445-U
0x018e        0x001175010277a13f   0 SW s446-U
0x018f        0x001175010277a16c   0 SW s438-L
0x0190        0x00117501027549ef   0 SW core6 L104A
0x0191        0x001175010277ae1b   0 SW s401-U
0x0192        0x001175010277a142   0 SW s407-L
0x0193        0x00117501027554e3   0 SW s440-L
0x0194        0x001175010278321b   0 SW s455-L
0x0195        0x001175010277a180   0 SW s451-U
0x0196        0x00117501017a92ed   1 FI c401-124 hfi1_0
0x0197        0x00117501010dd0cb   1 FI c411-074 hfi1_0
0x0198        0x001175010176dfc7   1 FI c411-083 hfi1_0
0x0199        0x001175010275548a   0 SW IO2-U
0x019a        0x00117501010dc941   1 FI c411-084 hfi1_0
0x019b        0x001175010176dc18   1 FI c411-093 hfi1_0
0x019c        0x00117501017a92f4   1 FI c401-121 hfi1_0
0x019d        0x0011750101718e66   1 FI c411-082 hfi1_0
0x019e        0x00117501017181f7   1 FI c411-081 hfi1_0
0x019f        0x00117501010dd10d   1 FI c411-072 hfi1_0
0x01a0        0x00117501027549cf   0 SW s433-L
0x01a1        0x001175010277ae46   0 SW IO3-U
0x01a2        0x001175010275400a   0 SW IO2-L
0x01a3        0x00117501027788ab   0 SW IO3-L
0x01a4        0x0011750101767516   1 FI c418-072 hfi1_0
0x01a5        0x001175010176dbe8   1 FI c411-094 hfi1_0
0x01a6        0x0011750101708277   1 FI c411-103 hfi1_0
0x01a7        0x00117501010dd537   1 FI c411-104 hfi1_0
0x01a8        0x0011750101718bb2   1 FI c411-113 hfi1_0
0x01a9        0x001175010171a741   1 FI c411-114 hfi1_0
0x01aa        0x0011750101718182   1 FI c411-112 hfi1_0
0x01ab        0x00117501017183a9   1 FI c411-111 hfi1_0
0x01ac        0x001175010171aa7b   1 FI c411-102 hfi1_0
0x01ad        0x00117501010dd131   1 FI c411-101 hfi1_0
0x01ae        0x0011750101718bac   1 FI c411-092 hfi1_0
0x01af        0x001175010176df09   1 FI c411-123 hfi1_0
0x01b0        0x001175010171a7a1   1 FI c411-124 hfi1_0
0x01b1        0x00117501017181a1   1 FI c411-133 hfi1_0
0x01b2        0x00117501017181b8   1 FI c411-134 hfi1_0
0x01b3        0x00117501017676ab   1 FI c418-071 hfi1_0
0x01b4        0x0011750101767694   1 FI c418-094 hfi1_0
0x01b5        0x001175010171a726   1 FI c411-122 hfi1_0
0x01b6        0x001175010176dfbb   1 FI c411-121 hfi1_0
0x01b7        0x001175010171ab24   1 FI c410-003 hfi1_0
0x01b8        0x001175010176dbfa   1 FI c410-004 hfi1_0
0x01b9        0x00117501010dcd6c   1 FI c410-013 hfi1_0
0x01ba        0x001175010173e179   1 FI c410-014 hfi1_0
0x01bb        0x00117501010dd0ff   1 FI c410-023 hfi1_0
0x01bc        0x00117501010dd26a   1 FI c410-021 hfi1_0
0x01bd        0x0011750102754c2f   0 SW core6 L112B
0x01be        0x0011750102755314   0 SW core6 L110B
0x01bf        0x00117501027b866e   0 SW core6 L108B
0x01c0        0x00117501027b60d1   0 SW core6 L106B
0x01c1        0x0011750102754d33   0 SW core6 L104B
0x01c2        0x00117501027556d3   0 SW core6 L102B
0x01c3        0x0011750102779722   0 SW core6 L113B
0x01c4        0x0011750102754159   0 SW core6 L123B
0x01c5        0x0011750102754184   0 SW core6 L121B
0x01c6        0x0011750102779521   0 SW core6 L119B
0x01c7        0x001175010277949e   0 SW core6 L117B
0x01c8        0x0011750102779109   0 SW core6 L115B
0x01c9        0x001175010275446a   0 SW core6 L101A
0x01ca        0x0011750102754b53   0 SW core6 L123A
0x01cb        0x0011750102754b47   0 SW core6 L121A
0x01cc        0x0011750102779532   0 SW core6 L119A
0x01cd        0x001175010277971b   0 SW core6 L117A
0x01ce        0x0011750102778952   0 SW core6 L115A
0x01cf        0x001175010277974d   0 SW core6 L113A
0x01d0        0x0011750102779398   0 SW core6 L111A
0x01d1        0x0011750102779be2   0 SW core6 L109A
0x01d2        0x0011750102754366   0 SW core6 L107A
0x01d3        0x0011750102755304   0 SW core6 L105A
0x01d4        0x00117501027790f1   0 SW core6 L103A
0x01d5        0x0011750102778937   0 SW core6 L111B
